Rk,Name,Age,Team,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional
189,Emmanuel Rivera,28,BAL,0.2,27,73,64,9,20,3,1,4,14,0,0,6,18,0.313,0.37,0.578,0.948,173,0.392,165,37,2,1,0,2,0,5/3HD,,riverem01
190,Víctor Robles,27,SEA,3.2,77,262,229,41,75,20,0,4,26,30,1,16,44,0.328,0.393,0.467,0.86,155,0.4,155,107,2,10,5,2,0,897/HD,,roblevi01
191,Trey Sweeney*,24,DET,0.8,36,119,110,11,24,5,0,4,17,2,0,7,32,0.218,0.269,0.373,0.642,81,0.29,81,41,3,1,0,1,0,6,,sweentr01
192,Luis Urías,27,SEA,0.4,41,109,94,11,18,7,0,4,16,0,0,9,34,0.191,0.303,0.394,0.696,105,0.307,106,37,2,6,0,0,0,5/HD,,uriaslu01
193,Joey Loperfido*,25,2TM,0.5,81,262,243,24,52,13,4,4,25,4,2,13,95,0.214,0.264,0.35,0.614,75,0.275,74,85,3,4,1,1,0,789/H3D,,loperjo01
193,Joey Loperfido*,25,HOU,0.3,38,118,106,11,25,5,1,2,16,2,1,7,43,0.236,0.299,0.358,0.658,89,0.289,85,38,1,3,1,1,0,79/H83D,,loperjo01
193,Joey Loperfido*,25,TOR,0.2,43,144,137,13,27,8,3,2,9,2,1,6,52,0.197,0.236,0.343,0.579,63,0.263,65,47,2,1,0,0,0,78/H3D,,loperjo01
194,Gabriel Arias,24,CLE,-0.4,53,161,153,15,34,9,1,3,15,5,2,6,53,0.222,0.255,0.353,0.608,71,0.273,71,54,4,1,0,1,0,56/4H38D79,,ariasga01
195,Dylan Carlson#,25,TBR,-0.3,37,127,114,7,25,2,0,3,14,2,0,10,38,0.219,0.299,0.316,0.615,78,0.281,77,36,0,3,0,0,0,7/H9D,,carlsdy01
196,Ezequiel Durán,25,TEX,0.1,92,285,268,26,66,11,0,3,20,1,2,14,63,0.246,0.288,0.321,0.609,75,0.273,75,86,6,2,0,1,0,573DH/6498,,duranez01
197,Estevan Florial*,26,CLE,0.1,36,111,98,11,17,6,2,3,11,2,1,11,41,0.173,0.264,0.367,0.631,78,0.275,73,36,2,1,1,0,0,79D/H8,,flories01
198,Robbie Grossman#,34,3TM,-0.3,87,245,208,21,44,8,0,3,16,3,0,34,58,0.212,0.322,0.293,0.616,79,0.291,84,61,8,1,0,2,0,DH79,,grossro01
198,Robbie Grossman#,34,CHW,-0.1,25,85,71,6,15,4,0,0,4,2,0,13,20,0.211,0.329,0.268,0.597,75,0.295,85,19,2,0,0,1,0,9/H7D,,grossro01
198,Robbie Grossman#,34,TEX,0.2,46,122,105,13,25,4,0,3,10,1,0,16,25,0.238,0.336,0.362,0.698,101,0.318,104,38,5,0,0,1,0,DH7/9,,grossro01
198,Robbie Grossman#,34,KCR,-0.4,16,38,32,2,4,0,0,0,2,0,0,5,13,0.125,0.263,0.125,0.388,15,0.201,17,4,1,1,0,0,0,D/H79,,grossro01
199,Brett Harris,26,OAK,-0.5,36,123,103,15,15,3,0,3,12,0,3,17,25,0.146,0.276,0.262,0.539,59,0.253,71,27,3,2,0,1,0,5/H,,harribr02
200,Austin Hays,28,BAL,0.2,63,175,157,18,40,13,0,3,14,0,1,9,40,0.255,0.316,0.395,0.711,108,0.316,112,62,1,6,1,2,1,7H/9D,,haysau01
201,Derek Hill,28,TEX,0,16,45,43,5,11,0,0,3,5,2,1,2,14,0.256,0.289,0.465,0.754,112,0.365,140,20,1,0,0,0,0,/9H87D,,hillde01
202,Alex Jackson,28,TBR,-0.4,58,155,139,17,17,7,0,3,12,1,0,12,53,0.122,0.201,0.237,0.439,26,0.213,29,33,2,2,1,1,0,2/H,,jacksal02
203,Corey Julks,28,CHW,-1.1,66,189,173,17,37,7,0,3,14,5,2,15,50,0.214,0.275,0.306,0.581,67,0.261,64,53,6,0,0,1,0,97H/D8,,julksco01
204,Brooks Lee#,23,MIN,-0.2,50,185,172,9,38,6,1,3,27,3,0,11,27,0.221,0.265,0.32,0.585,64,0.256,53,55,6,0,0,2,2,654/HD,,leebr02
